,id,project,branch,topic,attention_set,hashtags,change_id,subject,status,created,updated,submit_type,mergeable,insertions,deletions,total_comment_count,unresolved_comment_count,has_review_started,_number,owner,requirements,cherry_pick_of_change,cherry_pick_of_patch_set,revert_of,work_in_progress,_more_changes
10,zuul%2Fzuul~master~I8262888aef9ba1a106e0b321cc4cf2e14465b90c,zuul/zuul,master,GUI_admin,{},[],I8262888aef9ba1a106e0b321cc4cf2e14465b90c,web UI: allow a privileged user to promote a change,NEW,2021-03-19 18:32:41.000000000,2021-11-25 18:11:15.000000000,MERGE_IF_NECESSARY,True,104,11,9,0,True,781858,{'_account_id': 7186},[],,,,,
11,zuul%2Fzuul~master~Ia16993af70d133f15aad9a212737805c3623b76e,zuul/zuul,master,GUI_admin,{},[],Ia16993af70d133f15aad9a212737805c3623b76e,Web UI: Show pipeline types as icons,NEW,2021-09-23 14:21:49.000000000,2021-11-25 18:11:12.000000000,MERGE_IF_NECESSARY,True,72,5,13,1,True,810699,{'_account_id': 7186},[],,,,,
12,openstack%2Fneutron~master~Ie9676fb2869cbf5b5cba9a7b27f2bfbbe0eab458,openstack/neutron,master,bug/1947378,"{'16688': {'account': {'_account_id': 16688}, 'last_update': '2021-10-15 14:52:37.000000000', 'reason': 'Someone else replied on the change'}}",[],Ie9676fb2869cbf5b5cba9a7b27f2bfbbe0eab458,"[OVN] Add the VIF details ""connectivity"" parameter",NEW,2021-10-15 13:20:29.000000000,2021-11-25 18:10:11.000000000,MERGE_IF_NECESSARY,True,23,17,1,1,True,814143,{'_account_id': 16688},[],,,,,
13,openstack%2Fpython-ironicclient~master~I7cd21f247239cd4b5406392860b81869a99eaf10,openstack/python-ironicclient,master,mac_loewr,"{'7130': {'account': {'_account_id': 7130}, 'last_update': '2021-11-25 18:09:45.000000000', 'reason': 'A robot voted negatively on a label'}}",[],I7cd21f247239cd4b5406392860b81869a99eaf10,Convert mac addresses to lowercase to avoid mismatch,NEW,2021-11-25 16:40:23.000000000,2021-11-25 18:09:45.000000000,MERGE_IF_NECESSARY,True,2,2,0,0,True,819358,{'_account_id': 7130},[],,,,,
14,openstack%2Fnova~master~I829bcadca8f76d8c6b1631dbaab7928f7ecea39e,openstack/nova,master,,"{'8864': {'account': {'_account_id': 8864}, 'last_update': '2021-11-25 15:53:51.000000000', 'reason': 'A robot voted negatively on a label'}}",[],I829bcadca8f76d8c6b1631dbaab7928f7ecea39e,DNM: Try disabling bind-time events,NEW,2021-11-25 15:52:20.000000000,2021-11-25 18:09:24.000000000,MERGE_IF_NECESSARY,True,3,2,0,0,True,819349,{'_account_id': 8864},[],,,,,
15,openstack%2Fnova~master~I314fd61f20f2c3551f6231d191b7dcaaefabd2b5,openstack/nova,master,yoga-python-testing,"{'8556': {'account': {'_account_id': 8556}, 'last_update': '2021-11-25 16:57:45.000000000', 'reason': 'A robot voted negatively on a label'}, '10135': {'account': {'_account_id': 10135}, 'last_update': '2021-11-25 16:53:19.000000000', 'reason': 'Ghanshyam replied on the change'}}",[],I314fd61f20f2c3551f6231d191b7dcaaefabd2b5,Updating tests with Yoga testing runtime,NEW,2021-11-24 22:51:16.000000000,2021-11-25 18:09:13.000000000,MERGE_IF_NECESSARY,True,10,36,9,4,True,819194,{'_account_id': 8556},[],,,,,
16,starlingx%2Fconfig~master~I7e367b5735e1a8b0c174d0cd416925d72c5d4244,starlingx/config,master,redefined-outer-name,"{'31484': {'account': {'_account_id': 31484}, 'last_update': '2021-11-23 19:15:06.000000000', 'reason': 'Jia Hu replied on the change'}, '15435': {'account': {'_account_id': 15435}, 'last_update': '2021-11-25 18:09:05.000000000', 'reason': 'Jia Hu replied on the change'}, '9926': {'account': {'_account_id': 9926}, 'last_update': '2021-11-25 18:09:05.000000000', 'reason': 'Jia Hu replied on the change'}}",[],I7e367b5735e1a8b0c174d0cd416925d72c5d4244,Cleanup pylint error: redefined-outer-name,NEW,2021-11-23 18:55:24.000000000,2021-11-25 18:09:05.000000000,MERGE_IF_NECESSARY,True,33,34,18,1,True,819016,{'_account_id': 33978},[],,,,,
17,openstack%2Fpuppet-tripleo~master~I2573bdb52de99f0b02e5a9d49f7cc452d68225c4,openstack/puppet-tripleo,master,downcase_mac,"{'7130': {'account': {'_account_id': 7130}, 'last_update': '2021-11-25 18:06:29.000000000', 'reason': 'A robot voted negatively on a label'}}",[],I2573bdb52de99f0b02e5a9d49f7cc452d68225c4,Convert mac addresses to lowercase,NEW,2021-11-25 16:04:50.000000000,2021-11-25 18:06:29.000000000,MERGE_IF_NECESSARY,True,1,1,0,0,True,819354,{'_account_id': 7130},[],,,,,
18,openstack%2Fpython-manilaclient~master~I31b22013b60560c17bc95c41a51efc5e6c7a80ca,openstack/python-manilaclient,master,bp/openstack-client-support,"{'6413': {'account': {'_account_id': 6413}, 'last_update': '2021-11-22 16:30:43.000000000', 'reason': 'A robot voted negatively on a label'}, '33431': {'account': {'_account_id': 33431}, 'last_update': '2021-11-19 15:53:11.000000000', 'reason': 'Victoria Martinez de la Cruz replied on the change'}}",[],I31b22013b60560c17bc95c41a51efc5e6c7a80ca,[OSC] Implement Share Group Type Commands,NEW,2021-08-18 17:00:40.000000000,2021-11-25 18:05:52.000000000,MERGE_IF_NECESSARY,True,1331,8,99,13,True,805064,{'_account_id': 6413},[],,,,,
19,openstack%2Fopenstack-ansible-os_rally~master~I2a755326559ee95b74fabe6bc89ed26a820a70a1,openstack/openstack-ansible-os_rally,master,,,[],I2a755326559ee95b74fabe6bc89ed26a820a70a1,Install PyMySQL as rally commands may not work without it,NEW,2021-11-25 15:51:00.000000000,2021-11-25 18:05:07.000000000,MERGE_IF_NECESSARY,True,1,0,0,0,True,819348,{'_account_id': 32666},[],,,,,
20,starlingx%2Fspecs~master~I10b84555c5db37e9130187c78775018142cc73da,starlingx/specs,master,,"{'26026': {'account': {'_account_id': 26026}, 'last_update': '2021-11-25 18:04:57.000000000', 'reason': 'A robot voted negatively on a label'}, '16986': {'account': {'_account_id': 16986}, 'last_update': '2021-11-25 17:59:27.000000000', 'reason': 'Greg Waines replied on the change'}, '33265': {'account': {'_account_id': 33265}, 'last_update': '2021-11-25 17:59:27.000000000', 'reason': 'Greg Waines replied on the change'}, '28402': {'account': {'_account_id': 28402}, 'last_update': '2021-11-25 17:59:27.000000000', 'reason': 'Greg Waines replied on the change'}}",[],I10b84555c5db37e9130187c78775018142cc73da,Setting up stx-7.0/ folder in starlingx specs,NEW,2021-11-25 17:57:57.000000000,2021-11-25 18:04:57.000000000,MERGE_IF_NECESSARY,True,414,0,0,0,True,819360,{'_account_id': 26026},[],,,,,
21,openstack%2Fpuppet-octavia~master~I94001758cbbbc348fff238f5c352202c7e283b2b,openstack/puppet-octavia,master,system-scope-params,,[],I94001758cbbbc348fff238f5c352202c7e283b2b,Accept system scope credentials for Keystone API request,NEW,2021-11-25 14:43:52.000000000,2021-11-25 18:04:43.000000000,MERGE_IF_NECESSARY,True,56,0,0,0,True,819330,{'_account_id': 9816},[],,,,,
22,openstack%2Fcinder~stable%2Ftrain~Ib297c61cc61d51adae8d0eb7359b149ccb729a03,openstack/cinder,stable/train,,"{'12670': {'account': {'_account_id': 12670}, 'last_update': '2021-11-25 17:22:42.000000000', 'reason': 'Someone else replied on the change'}}",[],Ib297c61cc61d51adae8d0eb7359b149ccb729a03,PowerMax Driver - Fix for snapVx generations,NEW,2021-11-04 14:42:37.000000000,2021-11-25 18:04:06.000000000,MERGE_IF_NECESSARY,True,195,43,2,0,True,816705,{'_account_id': 12670},[],,,,,
23,openstack%2Fcinder~stable%2Fwallaby~I2532cfc9b98788a1a1e765f07d0c9f8c98bc77f6,openstack/cinder,stable/wallaby,improve-retype-migration,"{'9535': {'account': {'_account_id': 9535}, 'last_update': '2021-11-25 15:38:53.000000000', 'reason': 'Someone else replied on the change'}}",[],I2532cfc9b98788a1a1e765f07d0c9f8c98bc77f6,Driver assisted migration on retype when it's safe,NEW,2021-11-25 15:34:52.000000000,2021-11-25 18:03:18.000000000,MERGE_IF_NECESSARY,True,99,3,0,0,True,819346,{'_account_id': 9535},[],,,,,
24,openstack%2Fpython-openstackclient~master~Idc1b99492d609eb699d0a6bef6cd760458a774f6,openstack/python-openstackclient,master,bug/1936408,"{'27900': {'account': {'_account_id': 27900}, 'last_update': '2021-11-19 12:53:13.000000000', 'reason': 'Rodolfo Alonso replied on the change'}, '16688': {'account': {'_account_id': 16688}, 'last_update': '2021-11-25 18:00:46.000000000', 'reason': 'stephenfin replied on the change'}}",[],Idc1b99492d609eb699d0a6bef6cd760458a774f6,"Add network update quota ""limit_check"" parameter",NEW,2021-08-25 15:37:45.000000000,2021-11-25 18:00:46.000000000,MERGE_IF_NECESSARY,True,80,0,7,3,True,806016,{'_account_id': 16688},[],,,,,
25,x%2Fvmware-nsx~master~Iffd1a5e43e08fdc997a591829c87bcc0bb806c77,x/vmware-nsx,master,admin_utils_impro,"{'261': {'account': {'_account_id': 261}, 'last_update': '2021-11-25 16:57:38.000000000', 'reason': 'A robot voted negatively on a label'}}",[],Iffd1a5e43e08fdc997a591829c87bcc0bb806c77,[V2T] Helper admin utils for validation and N/S cutover,NEW,2021-11-25 16:36:52.000000000,2021-11-25 17:59:34.000000000,MERGE_IF_NECESSARY,True,191,2,1,0,True,819357,{'_account_id': 261},[],,,,,
26,openstack%2Fopenstack-ansible-haproxy_server~stable%2Fwallaby~I7ba9588b599f42dddad395df1a2e18ccfe6b3fe3,openstack/openstack-ansible-haproxy_server,stable/wallaby,,"{'28619': {'account': {'_account_id': 28619}, 'last_update': '2021-11-25 17:59:24.000000000', 'reason': 'Jonathan Rosser replied on the change'}}",[],I7ba9588b599f42dddad395df1a2e18ccfe6b3fe3,Fix inconsistency in haproxy_frontend_raw naming,NEW,2021-11-23 08:43:23.000000000,2021-11-25 17:59:24.000000000,MERGE_IF_NECESSARY,True,7,1,2,0,True,818744,{'_account_id': 28619},[],817727.0,1.0,,,
27,openstack%2Fopenstack-ansible~stable%2Fwallaby~I8b394fb4732ecd51a2f78e2d8bd91a6e2f2ee675,openstack/openstack-ansible,stable/wallaby,805373-stable/wallaby,"{'28619': {'account': {'_account_id': 28619}, 'last_update': '2021-11-25 17:59:08.000000000', 'reason': 'Jonathan Rosser replied on the change'}}",[],I8b394fb4732ecd51a2f78e2d8bd91a6e2f2ee675,Include openstack_services for murano role,NEW,2021-11-22 14:26:18.000000000,2021-11-25 17:59:08.000000000,MERGE_IF_NECESSARY,True,4,1,1,0,True,818736,{'_account_id': 28619},[],805373.0,5.0,,,
28,openstack%2Fneutron~master~I2d2fd4d1802c9dfe0778ac8fdddc7b9a8afe7d25,openstack/neutron,master,bp/keystone-v3,"{'5948': {'account': {'_account_id': 5948}, 'last_update': '2021-11-19 14:31:48.000000000', 'reason': 'Oleg Bondarev replied on the change'}, '11975': {'account': {'_account_id': 11975}, 'last_update': '2021-11-23 16:07:15.000000000', 'reason': 'Rodolfo Alonso replied on the change'}, '16688': {'account': {'_account_id': 16688}, 'last_update': '2021-11-25 11:10:30.000000000', 'reason': 'Someone else replied on the change'}}",[],I2d2fd4d1802c9dfe0778ac8fdddc7b9a8afe7d25,"Replace ""target_tenant"" with ""target_project"" in RBAC OVOs and models",NEW,2021-10-28 15:12:55.000000000,2021-11-25 17:57:39.000000000,MERGE_IF_NECESSARY,True,287,131,12,1,True,815855,{'_account_id': 16688},[],,,,,
29,starlingx%2Fvault-armada-app~master~Ifb0c1de001e75e01e501c0078d85e562dc802d84,starlingx/vault-armada-app,master,debian-pkg,"{'32559': {'account': {'_account_id': 32559}, 'last_update': '2021-11-25 17:56:41.000000000', 'reason': 'Fabricio Henrique Ramos replied on the change'}}",[],Ifb0c1de001e75e01e501c0078d85e562dc802d84,Add Debian packaging for vault app,NEW,2021-11-04 19:29:42.000000000,2021-11-25 17:56:41.000000000,MERGE_IF_NECESSARY,True,420,0,5,5,True,816743,{'_account_id': 32559},[],,,,,
30,openstack%2Fkolla~master~I98cc19c95fcec07dd4e494c14c09938d754f1de0,openstack/kolla,master,source-upgrade-pip,"{'30491': {'account': {'_account_id': 30491}, 'last_update': '2021-11-25 16:15:40.000000000', 'reason': 'Marcin Juszkiewicz replied on the change'}}",[],I98cc19c95fcec07dd4e494c14c09938d754f1de0,nova-compute: trim image a bit on CentOS,NEW,2021-11-25 15:54:25.000000000,2021-11-25 17:55:33.000000000,MERGE_IF_NECESSARY,True,15,3,4,0,True,819351,{'_account_id': 24072},[],,,,,
31,openstack%2Ftripleo-heat-templates~stable%2Fwallaby~Ic8199cb3eaa23476157be0f3b69d2ee08f77f17b,openstack/tripleo-heat-templates,stable/wallaby,secure-rbac,"{'7353': {'account': {'_account_id': 7353}, 'last_update': '2021-11-19 20:40:40.000000000', 'reason': 'Lance Bragstad replied on the change'}, '5046': {'account': {'_account_id': 5046}, 'last_update': '2021-11-24 16:56:32.000000000', 'reason': 'Alan Bishop replied on the change'}, '5314': {'account': {'_account_id': 5314}, 'last_update': '2021-11-19 20:40:40.000000000', 'reason': 'Lance Bragstad replied on the change'}}",[],Ic8199cb3eaa23476157be0f3b69d2ee08f77f17b,Implement project personas in custom cinder policy file,NEW,2021-11-19 20:36:10.000000000,2021-11-25 17:54:05.000000000,MERGE_IF_NECESSARY,True,86,140,18,8,True,818634,{'_account_id': 5046},[],,,,,
32,openstack%2Fneutron-lib~master~Ib83a375a03111316c1351a2afb622e201a603b5c,openstack/neutron-lib,master,bug/1950454,{},[],Ib83a375a03111316c1351a2afb622e201a603b5c,Add floating IP network QoS field to floating IP definition,NEW,2021-11-15 12:37:40.000000000,2021-11-25 17:52:45.000000000,MERGE_IF_NECESSARY,True,97,0,14,2,True,817936,{'_account_id': 16688},[],,,,,
33,openstack%2Fwhitebox-tempest-plugin~master~I6c446ba9b139a44640726f012d64a2b3371a2501,openstack/whitebox-tempest-plugin,master,provider-config-tests,"{'31033': {'account': {'_account_id': 31033}, 'last_update': '2021-11-24 19:35:07.000000000', 'reason': 'Reviewer was added'}, '27478': {'account': {'_account_id': 27478}, 'last_update': '2021-11-24 20:28:59.000000000', 'reason': 'A robot voted negatively on a label'}}",[],I6c446ba9b139a44640726f012d64a2b3371a2501,WIP: provider config,NEW,2021-11-24 19:35:07.000000000,2021-11-25 17:50:39.000000000,MERGE_IF_NECESSARY,True,258,1,1,0,True,819160,{'_account_id': 27478},[],,,,,
34,openstack%2Fpuppet-openstack-integration~master~I9da46a6aaef3559b24d5a47fb0bde9ae1d09abdb,openstack/puppet-openstack-integration,master,change-793462-9,"{'9816': {'account': {'_account_id': 9816}, 'last_update': '2021-11-25 17:48:46.000000000', 'reason': 'Alex Schultz replied on the change'}, '16312': {'account': {'_account_id': 16312}, 'last_update': '2021-11-24 15:14:46.000000000', 'reason': 'Riccardo Pittau replied on the change'}}",[],I9da46a6aaef3559b24d5a47fb0bde9ae1d09abdb,Add support for for CentOS Stream 9,NEW,2021-05-27 15:46:46.000000000,2021-11-25 17:50:35.000000000,MERGE_IF_NECESSARY,True,113,17,133,8,True,793462,{'_account_id': 16312},[],,,,,
35,openstack%2Fpuppet-openstack-integration~master~Ie1031e4e6f10be5d3d5476ac0a7a4c5cf496af77,openstack/puppet-openstack-integration,master,srbac-test,"{'9816': {'account': {'_account_id': 9816}, 'last_update': '2021-11-25 17:49:49.000000000', 'reason': 'A robot voted negatively on a label'}}",[],Ie1031e4e6f10be5d3d5476ac0a7a4c5cf496af77,DNM: Test SRBAC enforced,NEW,2021-11-25 15:57:33.000000000,2021-11-25 17:49:49.000000000,MERGE_IF_NECESSARY,True,146,4,0,0,True,819352,{'_account_id': 9816},[],,,,,
36,openstack%2Fpython-openstackclient~master~I1095100efb27b8559412469f0a9d07fc0a3db9d5,openstack/python-openstackclient,master,bug/1930200,"{'27900': {'account': {'_account_id': 27900}, 'last_update': '2021-11-10 13:56:01.000000000', 'reason': 'Mamatisa Nurmatov replied on the change'}, '32667': {'account': {'_account_id': 32667}, 'last_update': '2021-11-25 17:48:46.000000000', 'reason': 'stephenfin replied on the change'}}",[],I1095100efb27b8559412469f0a9d07fc0a3db9d5,Support Neutron Local IP CRUD,NEW,2021-08-23 11:44:18.000000000,2021-11-25 17:49:28.000000000,MERGE_IF_NECESSARY,True,1560,0,45,17,True,805618,{'_account_id': 32667},[],,,,,
37,openstack%2Fgovernance~master~I6c0d979038f65abb091db646ddb4c0d09c43735a,openstack/governance,master,formal-vote,,[],I6c0d979038f65abb091db646ddb4c0d09c43735a,Move completed goals into the completed directory,NEW,2021-11-23 02:27:13.000000000,2021-11-25 17:46:49.000000000,MERGE_IF_NECESSARY,True,19,3,1,0,True,818845,{'_account_id': 8556},[],,,,,
38,openstack%2Ftripleo-heat-templates~stable%2Fwallaby~I13262a4f1a6e850d66b2c687e730e0c2004c1f29,openstack/tripleo-heat-templates,stable/wallaby,secure-rbac-stable/wallaby,"{'6796': {'account': {'_account_id': 6796}, 'last_update': '2021-11-23 16:23:02.000000000', 'reason': 'A robot voted negatively on a label'}, '5046': {'account': {'_account_id': 5046}, 'last_update': '2021-11-24 16:54:43.000000000', 'reason': 'Change was marked ready for review'}, '11090': {'account': {'_account_id': 11090}, 'last_update': '2021-11-24 16:54:43.000000000', 'reason': 'Change was marked ready for review'}}",[],I13262a4f1a6e850d66b2c687e730e0c2004c1f29,Add a global configuration option for secure RBAC,NEW,2021-11-23 15:14:10.000000000,2021-11-25 17:46:37.000000000,MERGE_IF_NECESSARY,True,11,0,3,2,True,818901,{'_account_id': 6796},[],806449.0,4.0,,,
39,openstack%2Fproject-config~master~I885561912cd719afdfc02f382dcf36b08540ec00,openstack/project-config,master,infra-docs,,[],I885561912cd719afdfc02f382dcf36b08540ec00,Rework the Infra docs index as TaCT SIG docs,NEW,2021-11-25 17:39:12.000000000,2021-11-25 17:46:25.000000000,MERGE_IF_NECESSARY,True,34,89,0,0,True,819359,{'_account_id': 5263},[],,,,,
40,openstack%2Ftripleo-ci~master~Idd74d79197489e776e1b1171305b8275536b2c07,openstack/tripleo-ci,master,ci-collections,"{'29775': {'account': {'_account_id': 29775}, 'last_update': '2021-11-25 08:27:06.000000000', 'reason': 'Shnaidman Sagi replied on the change'}}",[],Idd74d79197489e776e1b1171305b8275536b2c07,Add required projects for collections,NEW,2021-11-22 18:47:44.000000000,2021-11-25 17:45:37.000000000,MERGE_IF_NECESSARY,True,13,0,24,3,True,818820,{'_account_id': 10969},[],,,,,
41,openstack%2Fdevstack-plugin-nfs~master~I379fe59b2fbf4888edfa8e6dd6fe1478c6c06497,openstack/devstack-plugin-nfs,master,update-branch-jobs,"{'8556': {'account': {'_account_id': 8556}, 'last_update': '2021-11-25 17:44:32.000000000', 'reason': 'Luigi Toscano replied on the change'}, '27615': {'account': {'_account_id': 27615}, 'last_update': '2021-11-25 17:45:29.000000000', 'reason': 'Luigi Toscano replied on the change'}, '22873': {'account': {'_account_id': 22873}, 'last_update': '2021-11-25 13:55:05.000000000', 'reason': 'Luigi Toscano replied on the change'}, '4523': {'account': {'_account_id': 4523}, 'last_update': '2021-11-25 17:44:32.000000000', 'reason': 'Luigi Toscano replied on the change'}}",[],I379fe59b2fbf4888edfa8e6dd6fe1478c6c06497,"Update the branch-specific jobs (+v, +w, +x, -s, -t)",NEW,2021-02-23 09:42:20.000000000,2021-11-25 17:45:29.000000000,MERGE_IF_NECESSARY,True,28,18,8,1,True,777078,{'_account_id': 10459},[],,,,,
42,openstack%2Fopenstack-ansible~master~I4659c1afcc0b783fdb9ba65b61d7d37b795db9a5,openstack/openstack-ansible,master,systemd_run_dir,,[],I4659c1afcc0b783fdb9ba65b61d7d37b795db9a5,Globally define systemd_lock_dir,NEW,2021-11-25 11:59:35.000000000,2021-11-25 17:45:28.000000000,MERGE_IF_NECESSARY,True,2,0,0,0,True,819300,{'_account_id': 28619},[],,,,,
43,openstack%2Fkolla~master~I4ae3a82cc796a60450c2a35beba32972964bc5d0,openstack/kolla,master,source-upgrade-pip,"{'24072': {'account': {'_account_id': 24072}, 'last_update': '2021-11-25 15:28:13.000000000', 'reason': 'Michal Arbet replied on the change'}, '29880': {'account': {'_account_id': 29880}, 'last_update': '2021-11-23 12:45:09.000000000', 'reason': 'Marcin Juszkiewicz replied on the change'}, '14826': {'account': {'_account_id': 14826}, 'last_update': '2021-11-23 11:54:06.000000000', 'reason': 'Marcin Juszkiewicz replied on the change'}}",[],I4ae3a82cc796a60450c2a35beba32972964bc5d0,Upgrade pip and friends in source images,NEW,2021-01-13 17:05:15.000000000,2021-11-25 17:45:15.000000000,MERGE_IF_NECESSARY,True,10,2,17,3,True,770647,{'_account_id': 30491},[],,,,,
44,openstack%2Fneutron~master~Ic936864aebcabb811860e17913fbff311c52845f,openstack/neutron,master,bug/1952004,"{'8655': {'account': {'_account_id': 8655}, 'last_update': '2021-11-25 17:11:41.000000000', 'reason': 'Rodolfo Alonso replied on the change'}}",[],Ic936864aebcabb811860e17913fbff311c52845f,ovn: Wait for northd in functional tests,NEW,2021-11-23 22:30:08.000000000,2021-11-25 17:44:35.000000000,MERGE_IF_NECESSARY,True,24,0,8,2,True,819032,{'_account_id': 8655},[],,,,,
